Category,Option 1,Option 2,Daily Range,10,15,20,25,30,35,U
No. 13-A Wood Frame Partitions,R-11,"½"" Extra Poly Board (R-2.5)",L,0.7,1,1.4,,,,0.075
No. 13-A Wood Frame Partitions,R-11,"½"" Extra Poly Board (R-2.5)",M,0.4,0.8,1.1,1.5,,,0.075
No. 13-A Wood Frame Partitions,R-11,"½"" Extra Poly Board (R-2.5)",H,,0.4,0.8,1.1,1.5,1.9,0.075
No. 13-A Wood Frame Partitions,R-11,"?"" Bead Board (R-2.7)",L,0.7,1,1.4,,,,0.075
No. 13-A Wood Frame Partitions,R-11,"?"" Bead Board (R-2.7)",M,0.4,0.8,1.1,1.5,,,0.075
No. 13-A Wood Frame Partitions,R-11,"?"" Bead Board (R-2.7)",H,,0.4,0.8,1.1,1.5,1.9,0.075
No. 13-A Wood Frame Partitions,R-11,"1"" Bead Board (R-3.6)",L,0.6,1,1.3,,,,0.07
No. 13-A Wood Frame Partitions,R-11,"1"" Bead Board (R-3.6)",M,0.4,0.7,1,1.4,,,0.07
No. 13-A Wood Frame Partitions,R-11,"1"" Bead Board (R-3.6)",H,,0.4,0.7,1,1.4,1.8,0.07
No. 13-A Wood Frame Partitions,R-11,"?"" Extra Poly Board (R-3.8)",L,0.6,1,1.3,,,,0.07
No. 13-A Wood Frame Partitions,R-11,"?"" Extra Poly Board (R-3.8)",M,0.4,0.7,1,1.4,,,0.07
No. 13-A Wood Frame Partitions,R-11,"?"" Extra Poly Board (R-3.8)",H,,0.4,0.7,1,1.4,1.8,0.07
No. 13-A Wood Frame Partitions,R-11,"1"" Extra Poly Board (R-5.0)",L,0.5,0.8,1.1,,,,0.06
No. 13-A Wood Frame Partitions,R-11,"1"" Extra Poly Board (R-5.0)",M,0.3,0.6,0.9,1.2,,,0.06
No. 13-A Wood Frame Partitions,R-11,"1"" Extra Poly Board (R-5.0)",H,,0.3,0.6,0.9,1.2,1.5,0.06
No. 13-A Wood Frame Partitions,R-11,R-8 Sheathing,L,0.4,0.7,0.9,,,,0.05
No. 13-A Wood Frame Partitions,R-11,R-8 Sheathing,M,0.2,0.5,0.7,1,,,0.05
No. 13-A Wood Frame Partitions,R-11,R-8 Sheathing,H,,0.2,0.5,0.7,1,1.2,0.05
No. 13-A Wood Frame Partitions,R-13,"½"" Gypsum Board (R-0.5)",L,0.7,1.1,1.5,,,,0.08
No. 13-A Wood Frame Partitions,R-13,"½"" Gypsum Board (R-0.5)",M,0.4,0.8,1.2,1.6,,,0.08
No. 13-A Wood Frame Partitions,R-13,"½"" Gypsum Board (R-0.5)",H,,0.4,0.8,1.2,1.6,2,0.08
No. 13-A Wood Frame Partitions,R-13,"½"" Asphalt Board (R-1.3)",L,0.7,1,1.4,,,,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Asphalt Board (R-1.3)",M,0.4,0.8,1.1,1.5,,,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Asphalt Board (R-1.3)",H,,0.4,0.8,1.1,1.5,1.9,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Bead Board (R-1.8)",L,0.7,1,1.4,,,,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Bead Board (R-1.8)",M,0.4,0.8,1.1,1.5,,,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Bead Board (R-1.8)",H,,0.4,0.8,1.1,1.5,1.9,0.075
No. 13-A Wood Frame Partitions,R-13,"½"" Extra Poly Board (R-2.5)",L,0.6,1,1.3,,,,0.07
No. 13-A Wood Frame Partitions,R-13,"½"" Extra Poly Board (R-2.5)",M,0.4,0.7,1,1.4,,,0.07
No. 13-A Wood Frame Partitions,R-13,"½"" Extra Poly Board (R-2.5)",H,,0.4,0.7,1,1.4,1.8,0.07
No. 13-A Wood Frame Partitions,R-13,"?"" Bead Board (R-2.7)",L,0.6,1,1.3,,,,0.07
No. 13-A Wood Frame Partitions,R-13,"?"" Bead Board (R-2.7)",M,0.4,0.7,1,1.4,,,0.07
No. 13-A Wood Frame Partitions,R-13,"?"" Bead Board (R-2.7)",H,,0.4,0.7,1,1.4,1.8,0.07
No. 13-A Wood Frame Partitions,R-13,"?"" Extra Poly Board (R-3.8)",L,0.6,0.9,1.2,,,,0.065
No. 13-A Wood Frame Partitions,R-13,"?"" Extra Poly Board (R-3.8)",M,0.3,0.6,1,1.3,,,0.065
No. 13-A Wood Frame Partitions,R-13,"?"" Extra Poly Board (R-3.8)",H,,0.3,0.6,1,1.3,1.6,0.065
No. 13-A Wood Frame Partitions,R-13,"1"" Bead Board (R-3.6)",L,0.6,0.9,1.2,,,,0.065
No. 13-A Wood Frame Partitions,R-13,"1"" Bead Board (R-3.6)",M,0.3,0.6,1,1.3,,,0.065
No. 13-A Wood Frame Partitions,R-13,"1"" Bead Board (R-3.6)",H,,0.3,0.6,1,1.3,1.6,0.065
No. 13-A Wood Frame Partitions,R-13,"1"" Extra Poly Board (R-5.0)",L,0.5,0.8,1.1,,,,0.06
No. 13-A Wood Frame Partitions,R-13,"1"" Extra Poly Board (R-5.0)",M,0.3,0.6,0.9,1.2,,,0.06
No. 13-A Wood Frame Partitions,R-13,"1"" Extra Poly Board (R-5.0)",H,,0.3,0.6,0.9,1.2,1.5,0.06
