External Shade Option,Glass Option,Internal Shade Option,Pane Option,Direction,10,15,20,25,30,35
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,N,11,15,19,23,27,31
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,15,19,23,27,31,35
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,E/W,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,17,21,25,29,33,37
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,S,13,17,21,25,29,33
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,8,10,12,14,16,18
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,11,13,15,17,19,21
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,14,16,18,20,22,24
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,13,15,17,19,21,23
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,10,12,14,16,18,20
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,N,12,16,20,24,28,32
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,NE/NW,17,21,25,29,33,37
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,E/W,20,24,28,32,36,40
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,SE/SW,19,23,27,31,35,39
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,S,15,19,23,27,31,35
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,9,11,13,15,17,19
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,14,16,18,20,22,24
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,11,13,15,17,19,21
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.25",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Single Pane,N,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Single Pane,NE/NW,35,39,43,47,51,55
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Single Pane,E/W,43,47,51,55,59,63
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Single Pane,SE/SW,39,43,47,51,55,59
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Single Pane,S,29,33,37,41,45,49
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,19,21,23,25,27,29
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,29,31,33,35,37,39
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,36,38,40,42,44,46
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,33,35,37,39,41,43
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,24,26,28,30,32,34
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,17,18,19,20,21,22
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,26,27,28,29,30,31
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,33,34,35,36,37,38
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,30,31,32,33,34,35
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,22,23,24,25,26,27
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Single Pane,N,14,18,22,26,30,34
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Single Pane,E/W,26,30,34,38,42,46
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Single Pane,S,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,18,20,22,24,26,28
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,23,25,27,29,31,33
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,21,23,25,27,29,31
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,15,16,17,18,19,20
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,19,20,21,22,23,24
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,18,19,20,21,22,23
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,13,14,15,16,17,18
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Single Pane,N,17,17,17,17,17,17
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Single Pane,NE/NW,25,29,33,37,41,45
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Single Pane,E/W,32,36,40,44,48,52
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Single Pane,SE/SW,29,33,37,41,45,49
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Single Pane,S,22,26,30,34,38,42
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,16,18,20,22,24,26
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,24,26,28,30,32,34
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,30,32,34,36,38,40
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,27,29,31,33,35,37
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,20,22,24,26,28,30
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,14,15,16,17,18,19
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,21,22,23,24,25,26
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,26,27,28,29,30,31
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,24,25,26,27,28,29
"External Shade Screen, Shading Coefficient 0.35",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,18,19,20,21,22,23
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,N,16,20,24,28,32,36
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,NE/NW,24,28,32,36,40,44
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,E/W,30,34,38,42,46,50
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,SE/SW,28,32,36,40,44,48
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,S,20,24,28,32,36,40
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,18,20,22,24,26,28
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,23,25,27,29,31,33
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,20,22,24,26,28,30
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,14,15,16,17,18,19
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,17,18,19,20,21,22
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,16,17,18,19,20,21
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,N,12,16,20,24,28,32
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,E/W,23,37,31,35,39,43
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,S,15,19,23,27,31,35
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,9,11,13,15,17,19
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,14,16,18,20,22,24
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,11,13,15,17,19,21
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Single Pane,N,14,18,22,26,30,34
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Single Pane,NE/NW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Single Pane,E/W,26,30,34,38,42,46
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Single Pane,SE/SW,24,28,32,36,40,44
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Single Pane,S,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,10,12,14,6,18,20
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,19,21,23,25,27,29
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,13,15,17,19,21,23
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,14,15,16,17,18,19
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,12,13,14,15,16,17
"External Shade Screen, Shading Coefficient 0.35",Tinted (Heat Absorbing) Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Single Pane,N,14,18,22,26,30,34
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Single Pane,NE/NW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Single Pane,E/W,26,30,34,38,42,46
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Single Pane,SE/SW,24,28,32,38,40,44
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Single Pane,S,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,10,12,14,16,18,20
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,18,20,22,24,26,28
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,N,11,15,19,23,27,31
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,17,21,25,29,33,37
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,E/W,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,19,23,27,31,35,39
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,S,14,18,22,26,30,34
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,8,10,12,14,16,18
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,16,18,20,22,24,26
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,14,16,18,20,22,24
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,10,12,14,16,18,20
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,7,8,9,10,11,12
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,N,12,16,20,24,28,32
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,NE/NW,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,E/W,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,SE/SW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,S,16,20,24,28,32,36
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,9,11,13,15,17,19
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,13,15,17,19,21,23
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,11,13,15,17,19,21
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,8,9,10,11,12,13
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.35",Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Single Pane,N,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Single Pane,NE/NW,38,42,46,50,54,58
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Single Pane,E/W,49,53,57,61,65,69
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Single Pane,SE/SW,44,48,52,56,60,64
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Single Pane,S,31,35,39,43,47,51
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,19,21,23,25,27,29
"External Shade Screen, Shading Coefficient 0.45 OR Adjustable Blinds Between Glazing, (Double Pane Only",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,32,34,36,38,40,42
